Series_Title,Gross,Role,Actor
The Godfather,134966411.0,Star2,Al Pacino
The Dark Knight,534858444.0,Star2,Heath Ledger
The Godfather: Part II,57300000.0,Star2,Robert De Niro
12 Angry Men,4360000.0,Star2,Lee J. Cobb
The Lord of the Rings: The Return of the King,377845905.0,Star2,Viggo Mortensen
Pulp Fiction,107928762.0,Star2,Uma Thurman
Schindler's List,96898818.0,Star2,Ralph Fiennes
Inception,292576195.0,Star2,Joseph Gordon-Levitt
Fight Club,37030102.0,Star2,Edward Norton
The Lord of the Rings: The Fellowship of the Ring,315544750.0,Star2,Ian McKellen
Forrest Gump,330252182.0,Star2,Robin Wright
"Il buono, il brutto, il cattivo",6100000.0,Star2,Eli Wallach
The Lord of the Rings: The Two Towers,342551365.0,Star2,Ian McKellen
The Matrix,171479930.0,Star2,Keanu Reeves
Goodfellas,46836394.0,Star2,Ray Liotta
Star Wars: Episode V - The Empire Strikes Back,290475067.0,Star2,Harrison Ford
One Flew Over the Cuckoo's Nest,112000000.0,Star2,Louise Fletcher
Hamilton,,Star2,Phillipa Soo
Gisaengchung,53367844.0,Star2,Lee Sun-kyun
Soorarai Pottru,,Star2,Madhavan
Interstellar,188020017.0,Star2,Anne Hathaway
Cidade de Deus,7563397.0,Star2,Alexandre Rodrigues
Sen to Chihiro no kamikakushi,10055859.0,Star2,Suzanne Pleshette
Saving Private Ryan,216540909.0,Star2,Matt Damon
The Green Mile,136801374.0,Star2,Michael Clarke Duncan
La vita è bella,57598247.0,Star2,Nicoletta Braschi
Se7en,100125643.0,Star2,Brad Pitt
The Silence of the Lambs,130742922.0,Star2,Anthony Hopkins
Star Wars,322740140.0,Star2,Harrison Ford
Seppuku,,Star2,Akira Ishihama
Shichinin no samurai,269061.0,Star2,Takashi Shimura
It's a Wonderful Life,,Star2,Donna Reed
Joker,335451311.0,Star2,Robert De Niro
Whiplash,13092000.0,Star2,J.K. Simmons
The Intouchables,13182281.0,Star2,François Cluzet
The Prestige,53089891.0,Star2,Hugh Jackman
The Departed,132384315.0,Star2,Matt Damon
The Pianist,32572577.0,Star2,Thomas Kretschmann
Gladiator,187705427.0,Star2,Joaquin Phoenix
American History X,6719864.0,Star2,Edward Furlong
The Usual Suspects,23341568.0,Star2,Gabriel Byrne
Léon,19501238.0,Star2,Gary Oldman
The Lion King,422783777.0,Star2,Matthew Broderick
Terminator 2: Judgment Day,204843350.0,Star2,Linda Hamilton
Nuovo Cinema Paradiso,11990401.0,Star2,Enzo Cannavale
Hotaru no haka,,Star2,Ayano Shiraishi
Back to the Future,210609762.0,Star2,Christopher Lloyd
Once Upon a Time in the West,5321508.0,Star2,Charles Bronson
Psycho,32000000.0,Star2,Janet Leigh
Casablanca,1024560.0,Star2,Ingrid Bergman
Modern Times,163245.0,Star2,Paulette Goddard
City Lights,19181.0,Star2,Virginia Cherrill
Capharnaüm,1661096.0,Star2,Yordanos Shiferaw
Ayla: The Daughter of War,,Star2,Çetin Tekindor
Vikram Vedha,,Star2,Madhavan
Kimi no na wa.,5017246.0,Star2,Mone Kamishiraishi
Dangal,12391761.0,Star2,Sakshi Tanwar
Spider-Man: Into the Spider-Verse,190241310.0,Star2,Rodney Rothman
Avengers: Endgame,858373000.0,Star2,Robert Downey Jr.
Avengers: Infinity War,678815482.0,Star2,Robert Downey Jr.
Coco,209726015.0,Star2,Anthony Gonzalez
Django Unchained,162805434.0,Star2,Christoph Waltz
The Dark Knight Rises,448139099.0,Star2,Tom Hardy
3 Idiots,6532908.0,Star2,Madhavan
Taare Zameen Par,1223869.0,Star2,Darsheel Safary
WALL·E,223808164.0,Star2,Elissa Knight
The Lives of Others,11286112.0,Star2,Martina Gedeck
Oldeuboi,707481.0,Star2,Yoo Ji-Tae
Memento,25544867.0,Star2,Carrie-Anne Moss
Mononoke-hime,2375308.0,Star2,Yuriko Ishida
Once Upon a Time in America,5321508.0,Star2,James Woods
Raiders of the Lost Ark,248159971.0,Star2,Karen Allen
The Shining,44017374.0,Star2,Shelley Duvall
Apocalypse Now,83471511.0,Star2,Marlon Brando
Alien,78900000.0,Star2,Tom Skerritt
Anand,,Star2,Amitabh Bachchan
Tengoku to jigoku,,Star2,Yutaka Sada
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,275902.0,Star2,George C. Scott
Witness for the Prosecution,8175000.0,Star2,Marlene Dietrich
Paths of Glory,,Star2,Ralph Meeker
Rear Window,36764313.0,Star2,Grace Kelly
Sunset Blvd.,,Star2,Gloria Swanson
The Great Dictator,288475.0,Star2,Paulette Goddard
1917,159227644.0,Star2,George MacKay
Tumbbad,,Star2,Adesh Prasad
Andhadhun,1373943.0,Star2,Tabu
Drishyam,,Star2,Meena
Jagten,687185.0,Star2,Thomas Bo Larsen
Jodaeiye Nader az Simin,7098492.0,Star2,Leila Hatami
Incendies,6857096.0,Star2,Mélissa Désormeaux-Poulin
Miracle in cell NO.7,,Star2,Nisa Sofiya Aksongur
Babam ve Oglum,,Star2,Fikret Kuskan
Inglourious Basterds,120540719.0,Star2,Diane Kruger
Eternal Sunshine of the Spotless Mind,34400301.0,Star2,Kate Winslet
Amélie,33225499.0,Star2,Mathieu Kassovitz
Snatch,30328156.0,Star2,Brad Pitt
Requiem for a Dream,3635482.0,Star2,Jared Leto
American Beauty,130096601.0,Star2,Annette Bening
Good Will Hunting,138433435.0,Star2,Matt Damon
Bacheha-Ye aseman,933933.0,Star2,Amir Farrokh Hashemian
Toy Story,191796233.0,Star2,Tim Allen
Braveheart,75600000.0,Star2,Sophie Marceau
Reservoir Dogs,2832029.0,Star2,Tim Roth
Full Metal Jacket,46357676.0,Star2,R. Lee Ermey
Idi i smotri,,Star2,Olga Mironova
Aliens,85160248.0,Star2,Michael Biehn
Amadeus,51973029.0,Star2,Tom Hulce
Scarface,45598982.0,Star2,Michelle Pfeiffer
Star Wars: Episode VI - Return of the Jedi,309125409.0,Star2,Harrison Ford
Das Boot,11487676.0,Star2,Herbert Grönemeyer
Taxi Driver,28262574.0,Star2,Jodie Foster
The Sting,159600000.0,Star2,Robert Redford
A Clockwork Orange,6207725.0,Star2,Patrick Magee
2001: A Space Odyssey,56954992.0,Star2,Gary Lockwood
Per qualche dollaro in più,15000000.0,Star2,Lee Van Cleef
Lawrence of Arabia,44824144.0,Star2,Alec Guinness
The Apartment,18600000.0,Star2,Shirley MacLaine
North by Northwest,13275000.0,Star2,Eva Marie Saint
Vertigo,3200000.0,Star2,Kim Novak
Singin' in the Rain,8819028.0,Star2,Gene Kelly
Ikiru,55240.0,Star2,Nobuo Kaneko
Ladri di biciclette,332930.0,Star2,Enzo Staiola
Double Indemnity,5720000.0,Star2,Barbara Stanwyck
Citizen Kane,1585634.0,Star2,Joseph Cotten
M - Eine Stadt sucht einen Mörder,28877.0,Star2,Ellen Widmann
Metropolis,1236166.0,Star2,Alfred Abel
The Kid,5450000.0,Star2,Edna Purviance
Chhichhore,898575.0,Star2,Shraddha Kapoor
Uri: The Surgical Strike,4186168.0,Star2,Paresh Rawal
K.G.F: Chapter 1,,Star2,Srinidhi Shetty
Green Book,85080171.0,Star2,Mahershala Ali
"Three Billboards Outside Ebbing, Missouri",54513740.0,Star2,Woody Harrelson
Talvar,342370.0,Star2,Konkona Sen Sharma
Baahubali 2: The Conclusion,20186659.0,Star2,Rana Daggubati
Klaus,,Star2,Jason Schwartzman
Drishyam,739478.0,Star2,Shriya Saran
Queen,1429534.0,Star2,Rajkummar Rao
Mandariinid,144501.0,Star2,Elmo Nüganen
Bhaag Milkha Bhaag,1626289.0,Star2,Sonam Kapoor
Gangs of Wasseypur,,Star2,Richa Chadha
Udaan,7461.0,Star2,Ronit Roy
Paan Singh Tomar,39567.0,Star2,Mahie Gill
El secreto de sus ojos,6391436.0,Star2,Soledad Villamil
Warrior,13657115.0,Star2,Nick Nolte
Shutter Island,128012934.0,Star2,Emily Mortimer
Up,293004164.0,Star2,Edward Asner
The Wolf of Wall Street,116900694.0,Star2,Jonah Hill
Chak De! India,1113541.0,Star2,Vidya Malvade
There Will Be Blood,40222514.0,Star2,Paul Dano
Pan's Labyrinth,37634615.0,Star2,Ariadna Gil
Toy Story 3,415004880.0,Star2,Tim Allen
V for Vendetta,70511035.0,Star2,Natalie Portman
Rang De Basanti,2197331.0,Star2,Soha Ali Khan
Black,733094.0,Star2,Rani Mukerji
Batman Begins,206852432.0,Star2,Michael Caine
"Swades: We, the People",1223240.0,Star2,Gayatri Joshi
Der Untergang,5509040.0,Star2,Alexandra Maria Lara
Hauru no ugoku shiro,4711096.0,Star2,Takuya Kimura
A Beautiful Mind,170742341.0,Star2,Ed Harris
Hera Pheri,,Star2,Sunil Shetty
"Lock, Stock and Two Smoking Barrels",3897569.0,Star2,Dexter Fletcher
L.A. Confidential,64616940.0,Star2,Russell Crowe
Eskiya,,Star2,Ugur Yücel
Heat,67436818.0,Star2,Robert De Niro
Casino,42438300.0,Star2,Sharon Stone
Andaz Apna Apna,,Star2,Salman Khan
Unforgiven,101157447.0,Star2,Gene Hackman
Ind Jones Last Crusade,197171806.0,Star2,Sean Connery
Dom za vesanje,280015.0,Star2,Bora Todorovic
Tonari no Totoro,1105564.0,Star2,Noriko Hidaka
Die Hard,83008852.0,Star2,Alan Rickman
Ran,4135750.0,Star2,Akira Terao
Raging Bull,23383987.0,Star2,Cathy Moriarty
Stalker,234723.0,Star2,Aleksandr Kaydanovskiy
Höstsonaten,,Star2,Liv Ullmann
The Message,,Star2,Irene Papas
Sholay,,Star2,Dharmendra
Monty Python and the Holy Grail,1229197.0,Star2,Graham Chapman
The Great Escape,12100000.0,Star2,James Garner
To Kill a Mockingbird,,Star2,John Megna
Yôjinbô,,Star2,Eijirô Tôno
Judgment at Nuremberg,,Star2,Burt Lancaster
Some Like It Hot,25000000.0,Star2,Tony Curtis
Smultronstället,,Star2,Bibi Andersson
Det sjunde inseglet,,Star2,Gunnar Björnstrand
Du rififi chez les hommes,57226.0,Star2,Carl Möhner
Dial M for Murder,12562.0,Star2,Grace Kelly
Tôkyô monogatari,,Star2,Chieko Higashiyama
Rashômon,96568.0,Star2,Machiko Kyô
All About Eve,10177.0,Star2,Anne Baxter
The Treasure of the Sierra Madre,5014000.0,Star2,Walter Huston
To Be or Not to Be,,Star2,Jack Benny
The Gold Rush,5450000.0,Star2,Mack Swain
Sherlock Jr.,977375.0,Star2,Kathryn McGuire
Portrait de la jeune fille en feu,3759854.0,Star2,Adèle Haenel
Pink,1241223.0,Star2,Amitabh Bachchan
Koe no katachi,,Star2,Saori Hayami
Contratiempo,,Star2,Ana Wagener
Ah-ga-ssi,2006788.0,Star2,Jung-woo Ha
Mommy,3492754.0,Star2,Antoine Olivier Pilon
Haider,901610.0,Star2,Tabu
Logan,226277068.0,Star2,Patrick Stewart
Room,14677674.0,Star2,Jacob Tremblay
Relatos salvajes,3107072.0,Star2,María Marull
Soul,,Star2,Jamie Foxx
Kis Uykusu,165520.0,Star2,Melisa Sözen
PK,10616104.0,Star2,Anushka Sharma
OMG: Oh My God!,923221.0,Star2,Akshay Kumar
The Grand Budapest Hotel,59100318.0,Star2,F. Murray Abraham
Gone Girl,167767189.0,Star2,Rosamund Pike
Ôkami kodomo no Ame to Yuki,,Star2,Takao Osawa
Hacksaw Ridge,67209615.0,Star2,Sam Worthington
Inside Out,356461711.0,Star2,Amy Poehler
Barfi!,2804874.0,Star2,Priyanka Chopra
12 Years a Slave,56671993.0,Star2,Michael Kenneth Williams
Rush,26947624.0,Star2,Chris Hemsworth
Ford v Ferrari,117624028.0,Star2,Christian Bale
Spotlight,45055776.0,Star2,Michael Keaton
Song of the Sea,857524.0,Star2,Brendan Gleeson
Kahaani,1035953.0,Star2,Parambrata Chattopadhyay
Zindagi Na Milegi Dobara,3108485.0,Star2,Farhan Akhtar
Prisoners,61002302.0,Star2,Jake Gyllenhaal
Mad Max: Fury Road,154058340.0,Star2,Charlize Theron
A Wednesday,,Star2,Naseeruddin Shah
Gran Torino,148095302.0,Star2,Bee Vang
Harry Potter and the Deathly Hallows: Part 2,381011219.0,Star2,Emma Watson
Okuribito,1498210.0,Star2,Ryôko Hirosue
Hachi: A Dog's Tale,,Star2,Joan Allen
Mary and Max,,Star2,Philip Seymour Hoffman
How to Train Your Dragon,217581231.0,Star2,Jay Baruchel
Into the Wild,18354356.0,Star2,Vince Vaughn
No Country for Old Men,74283625.0,Star2,Tommy Lee Jones
Lage Raho Munna Bhai,2217561.0,Star2,Arshad Warsi
Million Dollar Baby,100492203.0,Star2,Clint Eastwood
Hotel Rwanda,23530892.0,Star2,Sophie Okonedo
Taegukgi hwinalrimyeo,1111061.0,Star2,Won Bin
Before Sunset,5820649.0,Star2,Julie Delpy
Munna Bhai M.B.B.S.,,Star2,Arshad Warsi
Salinui chueok,14131.0,Star2,Kim Sang-kyung
Dil Chahta Hai,300000.0,Star2,Saif Ali Khan
Kill Bill: Vol. 1,70099045.0,Star2,David Carradine
Finding Nemo,380843261.0,Star2,Albert Brooks
Catch Me If You Can,164615351.0,Star2,Tom Hanks
Amores perros,5383834.0,Star2,Gael García Bernal
"Monsters, Inc.",289916256.0,Star2,Lee Unkrich
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",,Star2,Megumi Ogata
Lagaan: Once Upon a Time in India,70147.0,Star2,Raghuvir Yadav
The Sixth Sense,293506292.0,Star2,Haley Joel Osment
La leggenda del pianista sull'oceano,259127.0,Star2,Pruitt Taylor Vince
The Truman Show,125618201.0,Star2,Ed Harris
"Crna macka, beli macor",348660.0,Star2,Srdjan 'Zika' Todorovic
The Big Lebowski,17498804.0,Star2,Jeff Bridges
Fa yeung nin wah,2734044.0,Star2,Maggie Cheung
Trainspotting,16501785.0,Star2,Ewen Bremner
Fargo,24611975.0,Star2,William H. Macy
Underground,171082.0,Star2,Lazar Ristovski
La haine,309811.0,Star2,Hubert Koundé
Dilwale Dulhania Le Jayenge,,Star2,Kajol
Before Sunrise,5535405.0,Star2,Julie Delpy
Trois couleurs: Rouge,4043686.0,Star2,Jean-Louis Trintignant
Chung Hing sam lam,600200.0,Star2,Takeshi Kaneshiro
Jurassic Park,402453882.0,Star2,Laura Dern
In the Name of the Father,25010410.0,Star2,Pete Postlethwaite
Ba wang bie ji,5216888.0,Star2,Fengyi Zhang
Dà hóng denglong gaogao guà,2603061.0,Star2,Jingwu Ma
Dead Poets Society,95860116.0,Star2,Robert Sean Leonard
Stand by Me,52287414.0,Star2,River Phoenix
Platoon,138530565.0,Star2,Tom Berenger
"Paris, Texas",2181987.0,Star2,Nastassja Kinski
Kaze no tani no Naushika,495770.0,Star2,Mahito Tsujimura
The Thing,13782838.0,Star2,Wilford Brimley
Pink Floyd: The Wall,22244207.0,Star2,Christine Hargreaves
Fitzcarraldo,,Star2,Claudia Cardinale
Fanny och Alexander,4971340.0,Star2,Pernilla Allwin
Blade Runner,32868943.0,Star2,Rutger Hauer
The Elephant Man,,Star2,John Hurt
Life of Brian,20045115.0,Star2,John Cleese
The Deer Hunter,48979328.0,Star2,Christopher Walken
Rocky,117235247.0,Star2,Talia Shire
Network,,Star2,William Holden
Barry Lyndon,,Star2,Marisa Berenson
Zerkalo,177345.0,Star2,Filipp Yankovskiy
Chinatown,29000000.0,Star2,Faye Dunaway
Paper Moon,30933743.0,Star2,Tatum O'Neal
Viskningar och rop,1742348.0,Star2,Liv Ullmann
Solaris,,Star2,Donatas Banionis
Le samouraï,39481.0,Star2,François Périer
Cool Hand Luke,16217773.0,Star2,George Kennedy
Persona,,Star2,Liv Ullmann
Andrei Rublev,102021.0,Star2,Ivan Lapikov
La battaglia di Algeri,55908.0,Star2,Jean Martin
El ángel exterminador,,Star2,Jacqueline Andere
What Ever Happened to Baby Jane?,4050000.0,Star2,Joan Crawford
Sanjuro,,Star2,Tatsuya Nakadai
The Man Who Shot Liberty Valance,,Star2,John Wayne
Ivanovo detstvo,,Star2,Nikolay Burlyaev
Jungfrukällan,1526000.0,Star2,Birgitta Valberg
Inherit the Wind,,Star2,Fredric March
Les quatre cents coups,,Star2,Albert Rémy
Ben-Hur,74700000.0,Star2,Jack Hawkins
Kakushi-toride no san-akunin,,Star2,Misa Uehara
Le notti di Cabiria,752045.0,Star2,François Périer
Kumonosu-jô,,Star2,Minoru Chiaki
The Bridge on the River Kwai,44908000.0,Star2,Alec Guinness
On the Waterfront,9600000.0,Star2,Karl Malden
Le salaire de la peur,,Star2,Charles Vanel
Ace in the Hole,3969893.0,Star2,Jan Sterling
White Heat,,Star2,Virginia Mayo
The Third Man,449191.0,Star2,Joseph Cotten
The Red Shoes,10900000.0,Star2,Anton Walbrook
The Shop Around the Corner,203300.0,Star2,James Stewart
Rebecca,4360000.0,Star2,Joan Fontaine
Mr. Smith Goes to Washington,9600000.0,Star2,Jean Arthur
Gone with the Wind,198676459.0,Star2,Sam Wood
La Grande Illusion,172885.0,Star2,Dita Parlo
It Happened One Night,4360000.0,Star2,Claudette Colbert
La passion de Jeanne d'Arc,21877.0,Star2,Eugene Silvain
The Circus,,Star2,Merna Kennedy
Sunrise: A Song of Two Humans,539540.0,Star2,Janet Gaynor
The General,1033895.0,Star2,Buster Keaton
Das Cabinet des Dr. Caligari,,Star2,Conrad Veidt
Badhaai ho,,Star2,Neena Gupta
Togo,,Star2,Julianne Nicholson
Airlift,,Star2,Nimrat Kaur
Bajrangi Bhaijaan,8178001.0,Star2,Harshaali Malhotra
Baby,,Star2,Danny Denzongpa
La La Land,151101803.0,Star2,Emma Stone
Lion,51739495.0,Star2,Nicole Kidman
The Martian,228433663.0,Star2,Jessica Chastain
Zootopia,341268248.0,Star2,Jared Bush
Bãhubali: The Beginning,6738000.0,Star2,Rana Daggubati
Kaguyahime no monogatari,1506975.0,Star2,James Caan
Wonder,132422809.0,Star2,Owen Wilson
Gully Boy,5566534.0,Star2,Nakul Roshan Sahdev
Special Chabbis,1079369.0,Star2,Anupam Kher
Short Term 12,1010414.0,Star2,Frantz Turner
Serbuan maut 2: Berandal,2625803.0,Star2,Yayan Ruhian
The Imitation Game,91125683.0,Star2,Keira Knightley
Guardians of the Galaxy,333176600.0,Star2,Vin Diesel
Blade Runner 2049,92054159.0,Star2,Ryan Gosling
Her,25568251.0,Star2,Amy Adams
Bohemian Rhapsody,216428042.0,Star2,Lucy Boynton
The Revenant,183637894.0,Star2,Tom Hardy
The Perks of Being a Wallflower,17738570.0,Star2,Emma Watson
Tropa de Elite 2: O Inimigo Agora é Outro,100119.0,Star2,Irandhir Santos
The King's Speech,138797449.0,Star2,Geoffrey Rush
The Help,169708112.0,Star2,Viola Davis
Deadpool,363070709.0,Star2,Morena Baccarin
Darbareye Elly,106662.0,Star2,Shahab Hosseini
Dev.D,10950.0,Star2,Mahie Gill
Yip Man,,Star2,Simon Yam
My Name Is Khan,4018695.0,Star2,Kajol
Nefes: Vatan Sagolsun,,Star2,Mete Horozoglu
Slumdog Millionaire,141319928.0,Star2,Dev Patel
Black Swan,106954678.0,Star2,Mila Kunis
Tropa de Elite,8060.0,Star2,André Ramiro
The Avengers,623279547.0,Star2,Chris Evans
Persepolis,4445756.0,Star2,Chiara Mastroianni
Dallas Buyers Club,27298285.0,Star2,Jennifer Garner
The Pursuit of Happyness,163566459.0,Star2,Thandie Newton
Blood Diamond,57366262.0,Star2,Djimon Hounsou
The Bourne Ultimatum,227471070.0,Star2,Edgar Ramírez
Bin-jip,238507.0,Star2,Hee Jae
Sin City,74103820.0,Star2,Robert Rodriguez
Le scaphandre et le papillon,5990075.0,Star2,Mathieu Amalric
G.O.R.A.,,Star2,Özge Özberk
Ratatouille,206445654.0,Star2,Brad Garrett
Casino Royale,167445960.0,Star2,Eva Green
Kill Bill: Vol. 2,66208183.0,Star2,David Carradine
Vozvrashchenie,502028.0,Star2,Ivan Dobronravov
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2380788.0,Star2,Yeong-su Oh
Mar adentro,2086345.0,Star2,Belén Rueda
Cinderella Man,61649911.0,Star2,Renée Zellweger
Kal Ho Naa Ho,1787378.0,Star2,Shah Rukh Khan
Mou gaan dou,169659.0,Star2,Andy Lau
Pirates of the Caribbean: The Curse of the Black Pearl,305413918.0,Star2,Geoffrey Rush
Big Fish,66257002.0,Star2,Albert Finney
The Incredibles,261441092.0,Star2,Samuel L. Jackson
Yeopgijeogin geunyeo,,Star2,Jun Ji-Hyun
Dogville,1530386.0,Star2,Paul Bettany
Vizontele,,Star2,Yilmaz Erdogan
Donnie Darko,1480006.0,Star2,Jena Malone
Magnolia,22455976.0,Star2,Jason Robards
Dancer in the Dark,4184036.0,Star2,Catherine Deneuve
The Straight Story,6203044.0,Star2,Sissy Spacek
Pâfekuto burû,776665.0,Star2,Rica Matsumoto
Festen,1647780.0,Star2,Henning Moritzen
Central do Brasil,5595428.0,Star2,Vinícius de Oliveira
The Iron Giant,23159305.0,Star2,Harry Connick Jr.
Knockin' on Heaven's Door,3296.0,Star2,Jan Josef Liefers
Sling Blade,24475416.0,Star2,Dwight Yoakam
Secrets & Lies,13417292.0,Star2,Brenda Blethyn
Twelve Monkeys,57141459.0,Star2,Madeleine Stowe
Kôkaku Kidôtai,515905.0,Star2,Iemasa Kayumi
The Nightmare Before Christmas,75082668.0,Star2,Chris Sarandon
Groundhog Day,70906973.0,Star2,Andie MacDowell
Bound by Honor,4496583.0,Star2,Jesse Borrego
Scent of a Woman,63895607.0,Star2,Chris O'Donnell
Aladdin,217350219.0,Star2,Scott Weinger
JFK,70405498.0,Star2,Gary Oldman
Beauty and the Beast,218967620.0,Star2,Paige O'Hara
Dances with Wolves,184208848.0,Star2,Mary McDonnell
Do the Right Thing,27545445.0,Star2,Ossie Davis
Rain Man,178800000.0,Star2,Tom Cruise
Akira,553171.0,Star2,Nozomu Sasaki
The Princess Bride,30857814.0,Star2,Mandy Patinkin
Der Himmel über Berlin,3333969.0,Star2,Solveig Dommartin
Au revoir les enfants,4542825.0,Star2,Raphael Fejtö
Tenkû no shiro Rapyuta,,Star2,Keiko Yokozawa
The Terminator,38400000.0,Star2,Linda Hamilton
Gandhi,52767889.0,Star2,John Gielgud
Kagemusha,,Star2,Tsutomu Yamazaki
Being There,30177511.0,Star2,Shirley MacLaine
Annie Hall,39200000.0,Star2,Diane Keaton
Jaws,260000000.0,Star2,Robert Shaw
Dog Day Afternoon,50000000.0,Star2,John Cazale
Young Frankenstein,86300000.0,Star2,Madeline Kahn
Papillon,53267000.0,Star2,Dustin Hoffman
The Exorcist,232906145.0,Star2,Max von Sydow
Sleuth,4081254.0,Star2,Michael Caine
The Last Picture Show,29133000.0,Star2,Jeff Bridges
Fiddler on the Roof,80500000.0,Star2,Norma Crane
Il conformista,541940.0,Star2,Stefania Sandrelli
Butch Cassidy and the Sundance Kid,102308889.0,Star2,Robert Redford
Rosemary's Baby,,Star2,John Cassavetes
Planet of the Apes,33395426.0,Star2,Roddy McDowall
The Graduate,104945305.0,Star2,Anne Bancroft
Who's Afraid of Virginia Woolf?,,Star2,Richard Burton
The Sound of Music,163214286.0,Star2,Christopher Plummer
Doctor Zhivago,111722000.0,Star2,Julie Christie
Per un pugno di dollari,14500000.0,Star2,Gian Maria Volontè
8½,50690.0,Star2,Anouk Aimée
Vivre sa vie: Film en douze tableaux,,Star2,Sady Rebbot
The Hustler,8284000.0,Star2,Jackie Gleason
La dolce vita,19516000.0,Star2,Anita Ekberg
Rio Bravo,12535000.0,Star2,Dean Martin
Anatomy of a Murder,11900000.0,Star2,Lee Remick
Touch of Evil,2237659.0,Star2,Orson Welles
Cat on a Hot Tin Roof,17570324.0,Star2,Paul Newman
Sweet Smell of Success,,Star2,Tony Curtis
The Killing,,Star2,Coleen Gray
The Night of the Hunter,654000.0,Star2,Shelley Winters
La Strada,,Star2,Giulietta Masina
Les diaboliques,,Star2,Véra Clouzot
Stalag 17,,Star2,Don Taylor
Roman Holiday,,Star2,Audrey Hepburn
A Streetcar Named Desire,8000000.0,Star2,Marlon Brando
In a Lonely Place,,Star2,Gloria Grahame
Kind Hearts and Coronets,,Star2,Alec Guinness
Rope,,Star2,John Dall
Out of the Past,,Star2,Jane Greer
Brief Encounter,,Star2,Trevor Howard
Laura,4360000.0,Star2,Dana Andrews
The Best Years of Our Lives,23650000.0,Star2,Dana Andrews
Arsenic and Old Lace,,Star2,Priscilla Lane
The Maltese Falcon,2108060.0,Star2,Mary Astor
The Grapes of Wrath,55000.0,Star2,Jane Darwell
The Wizard of Oz,2076020.0,Star2,Mervyn LeRoy
La règle du jeu,,Star2,Nora Gregor
The Thin Man,,Star2,Myrna Loy
All Quiet on the Western Front,3270000.0,Star2,Louis Wolheim
Bronenosets Potemkin,50970.0,Star2,Vladimir Barskiy
Knives Out,165359751.0,Star2,Chris Evans
Dil Bechara,,Star2,Sanjana Sanghi
Manbiki kazoku,3313513.0,Star2,Sakura Andô
Marriage Story,2000000.0,Star2,Scarlett Johansson
Call Me by Your Name,18095701.0,Star2,Timothée Chalamet
"I, Daniel Blake",258168.0,Star2,Dave Johns
Isle of Dogs,32015231.0,Star2,Koyu Rankin
Hunt for the Wilderpeople,5202582.0,Star2,Julian Dennison
Captain Fantastic,5875006.0,Star2,George MacKay
Sing Street,3237118.0,Star2,Aidan Gillen
Thor: Ragnarok,315058289.0,Star2,Tom Hiddleston
Nightcrawler,32381218.0,Star2,Rene Russo
Jojo Rabbit,349555.0,Star2,Thomasin McKenzie
Arrival,100546139.0,Star2,Jeremy Renner
Star Wars: Episode VII - The Force Awakens,936662225.0,Star2,John Boyega
Before Midnight,8114627.0,Star2,Julie Delpy
X-Men: Days of Future Past,233921534.0,Star2,Ian McKellen
Bir Zamanlar Anadolu'da,138730.0,Star2,Yilmaz Erdogan
The Artist,44671682.0,Star2,Bérénice Bejo
Edge of Tomorrow,100206256.0,Star2,Emily Blunt
Amour,6739492.0,Star2,Emmanuelle Riva
The Irishman,7000000.0,Star2,Al Pacino
Un prophète,2084637.0,Star2,Niels Arestrup
Moon,5009677.0,Star2,Kevin Spacey
Låt den rätte komma in,2122065.0,Star2,Lina Leandersson
District 9,115646235.0,Star2,David James
The Wrestler,26236603.0,Star2,Marisa Tomei
Jab We Met,410800.0,Star2,Kareena Kapoor
Boyhood,25379975.0,Star2,Patricia Arquette
"4 luni, 3 saptamâni si 2 zile",1185783.0,Star2,Laura Vasiliu
Star Trek,257730019.0,Star2,Zachary Quinto
In Bruges,7757130.0,Star2,Brendan Gleeson
The Man from Earth,,Star2,Tony Todd
Letters from Iwo Jima,13756082.0,Star2,Kazunari Ninomiya
The Fall,2280348.0,Star2,Catinca Untaru
Life of Pi,124987023.0,Star2,Irrfan Khan
Fantastic Mr. Fox,21002919.0,Star2,Meryl Streep
C.R.A.Z.Y.,,Star2,Marc-André Grondin
Les choristes,3635164.0,Star2,François Berléand
Iron Man,318412101.0,Star2,Gwyneth Paltrow
Shaun of the Dead,13542874.0,Star2,Nick Frost
Gegen die Wand,,Star2,Sibel Kekilli
Mystic River,90135191.0,Star2,Tim Robbins
Harry Potter and the Prisoner of Azkaban,249358727.0,Star2,Emma Watson
Ying xiong,53710019.0,Star2,Tony Chiu-Wai Leung
Hable con ella,9284265.0,Star2,Javier Cámara
No Man's Land,1059830.0,Star2,Rene Bitorajac
Cowboy Bebop: Tengoku no tobira,1000045.0,Star2,Hiroyuki Okiura
The Bourne Identity,121661683.0,Star2,Matt Damon
Nueve reinas,1221261.0,Star2,Gastón Pauls
Children of Men,35552383.0,Star2,Clive Owen
Almost Famous,32534850.0,Star2,Patrick Fugit
Mulholland Dr.,7220243.0,Star2,Laura Harring
Toy Story 2,245852179.0,Star2,Lee Unkrich
Boogie Nights,26400640.0,Star2,Julianne Moore
Mimi wo sumaseba,,Star2,Issey Takahashi
